epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,636.328,0.46164,0.67978,0.85833,0.97963,0.97563,0.98726,0.89911,0.45805,0.58054,0.84992,0.000455875,0.000455875,0.000455875
43,650.347,0.4458,0.66236,0.85694,0.98618,0.98255,0.98802,0.90261,0.44827,0.54789,0.84872,0.00045175,0.00045175,0.00045175
44,664.44,0.45132,0.656,0.85471,0.98951,0.97759,0.98821,0.90679,0.43617,0.5609,0.84575,0.000447625,0.000447625,0.000447625
45,678.648,0.45526,0.67899,0.85559,0.98493,0.97927,0.98792,0.89981,0.44719,0.54905,0.84554,0.0004435,0.0004435,0.0004435
46,692.662,0.45985,0.68468,0.85776,0.98806,0.98348,0.98823,0.90569,0.42215,0.54409,0.83978,0.000439375,0.000439375,0.000439375
47,706.757,0.42482,0.62829,0.85245,0.99069,0.98421,0.98832,0.9118,0.41328,0.53385,0.83916,0.00043525,0.00043525,0.00043525
48,720.787,0.43131,0.64539,0.85151,0.98865,0.98601,0.9883,0.90404,0.425,0.52707,0.84173,0.000431125,0.000431125,0.000431125
49,734.906,0.42494,0.62058,0.84658,0.99414,0.97993,0.98809,0.90631,0.4051,0.53177,0.83467,0.000427,0.000427,0.000427
50,748.971,0.43016,0.62479,0.84431,0.97866,0.98234,0.98653,0.91065,0.40051,0.52027,0.83288,0.000422875,0.000422875,0.000422875
51,763.049,0.40779,0.62056,0.84597,0.98226,0.97385,0.98675,0.91138,0.38321,0.52914,0.83096,0.00041875,0.00041875,0.00041875
52,777.013,0.41953,0.61391,0.84133,0.98642,0.98448,0.98737,0.90432,0.43071,0.53585,0.83965,0.000414625,0.000414625,0.000414625
53,790.937,0.41012,0.61114,0.84363,0.98674,0.98142,0.9885,0.9136,0.37962,0.49972,0.83172,0.0004105,0.0004105,0.0004105
54,804.927,0.40124,0.62085,0.84842,0.98801,0.98314,0.98833,0.91196,0.3972,0.50183,0.83386,0.000406375,0.000406375,0.000406375
55,818.76,0.40609,0.61582,0.84315,0.99472,0.9833,0.98872,0.91833,0.38755,0.50293,0.8317,0.00040225,0.00040225,0.00040225
56,832.557,0.42348,0.63406,0.85062,0.99618,0.98364,0.98892,0.90079,0.40817,0.50175,0.83775,0.000398125,0.000398125,0.000398125
57,846.422,0.41561,0.61125,0.84731,0.99228,0.98404,0.98914,0.91305,0.39451,0.4932,0.8317,0.000394,0.000394,0.000394
58,860.261,0.39876,0.59895,0.83883,0.98883,0.98437,0.98899,0.91239,0.38747,0.49415,0.83438,0.000389875,0.000389875,0.000389875
59,874.35,0.3986,0.59715,0.83998,0.98991,0.98406,0.98814,0.92391,0.38037,0.49465,0.82947,0.00038575,0.00038575,0.00038575
60,888.16,0.38893,0.57236,0.83747,0.99378,0.98687,0.98917,0.92711,0.37177,0.48682,0.82859,0.000381625,0.000381625,0.000381625
61,901.997,0.39398,0.57504,0.83713,0.99389,0.98507,0.98869,0.91884,0.41347,0.49993,0.83873,0.0003775,0.0003775,0.0003775
62,915.844,0.3777,0.57989,0.84033,0.99227,0.98571,0.98899,0.92022,0.37415,0.48833,0.83033,0.000373375,0.000373375,0.000373375
63,929.813,0.38296,0.57164,0.83302,0.99171,0.98318,0.98864,0.9204,0.38225,0.48825,0.83123,0.00036925,0.00036925,0.00036925
64,943.573,0.38617,0.59246,0.83881,0.99372,0.97793,0.98859,0.9251,0.36606,0.47742,0.82694,0.000365125,0.000365125,0.000365125
65,957.347,0.36746,0.56437,0.83381,0.99459,0.98081,0.98913,0.92111,0.36422,0.47123,0.82688,0.000361,0.000361,0.000361
66,971.127,0.37459,0.57187,0.83651,0.9959,0.98235,0.98918,0.92433,0.36377,0.4755,0.82822,0.000356875,0.000356875,0.000356875
67,985.02,0.36807,0.56613,0.83467,0.99363,0.98192,0.98904,0.9269,0.36296,0.45967,0.82744,0.00035275,0.00035275,0.00035275
68,998.791,0.38145,0.5632,0.83277,0.99061,0.97971,0.98888,0.92241,0.37561,0.47546,0.82932,0.000348625,0.000348625,0.000348625
69,1012.51,0.36748,0.56529,0.83246,0.98852,0.98061,0.98904,0.92123,0.35925,0.48421,0.82517,0.0003445,0.0003445,0.0003445
70,1026.37,0.36472,0.54126,0.82968,0.9894,0.9819,0.9889,0.92655,0.35734,0.47197,0.82432,0.000340375,0.000340375,0.000340375
71,1040.25,0.36518,0.55939,0.83783,0.99307,0.97886,0.98918,0.93171,0.34334,0.45355,0.82199,0.00033625,0.00033625,0.00033625
72,1054.42,0.35117,0.53557,0.82684,0.99194,0.98684,0.98971,0.93192,0.34252,0.45275,0.82096,0.000332125,0.000332125,0.000332125
73,1068.2,0.35535,0.54196,0.82573,0.99045,0.98323,0.98921,0.92404,0.36621,0.46861,0.82372,0.000328,0.000328,0.000328
74,1082.07,0.3682,0.53219,0.8256,0.99187,0.98529,0.98958,0.93051,0.35985,0.44827,0.82208,0.000323875,0.000323875,0.000323875
75,1095.9,0.35771,0.52692,0.82644,0.98792,0.98458,0.98956,0.93127,0.33811,0.45414,0.82025,0.00031975,0.00031975,0.00031975
76,1109.8,0.36143,0.52816,0.82544,0.99246,0.98207,0.98946,0.93267,0.33883,0.45586,0.82176,0.000315625,0.000315625,0.000315625
77,1123.6,0.3567,0.53265,0.83038,0.99179,0.98713,0.9895,0.93014,0.333,0.44624,0.81862,0.0003115,0.0003115,0.0003115
78,1137.3,0.33354,0.51715,0.8213,0.99646,0.98745,0.98983,0.93509,0.32336,0.4319,0.81723,0.000307375,0.000307375,0.000307375
79,1151.11,0.33617,0.51961,0.82328,0.99452,0.98523,0.99096,0.92988,0.33868,0.42647,0.82051,0.00030325,0.00030325,0.00030325
80,1165.05,0.34773,0.52314,0.82619,0.99308,0.98628,0.99134,0.93572,0.32278,0.43318,0.81725,0.000299125,0.000299125,0.000299125
81,1178.76,0.34609,0.51458,0.81879,0.99047,0.98354,0.99139,0.93497,0.33327,0.43173,0.82071,0.000295,0.000295,0.000295
82,1192.48,0.33414,0.50687,0.82268,0.98342,0.98788,0.99129,0.93776,0.32975,0.4383,0.81643,0.000290875,0.000290875,0.000290875
83,1206.25,0.34269,0.50844,0.81977,0.98934,0.98613,0.9915,0.93785,0.32579,0.42908,0.81648,0.00028675,0.00028675,0.00028675
84,1220.24,0.33738,0.51459,0.82488,0.99651,0.9859,0.99202,0.93793,0.34447,0.42335,0.82057,0.000282625,0.000282625,0.000282625
85,1234.17,0.33979,0.50097,0.81621,0.9952,0.98856,0.99206,0.93886,0.32344,0.41709,0.81603,0.0002785,0.0002785,0.0002785
86,1247.73,0.35044,0.51652,0.82728,0.99747,0.98611,0.99199,0.93669,0.31692,0.40895,0.81395,0.000274375,0.000274375,0.000274375
87,1261.36,0.31854,0.50907,0.82284,0.99657,0.9857,0.99235,0.93557,0.33337,0.41345,0.81772,0.00027025,0.00027025,0.00027025
88,1275.04,0.30847,0.4643,0.80984,0.99471,0.98563,0.99247,0.93786,0.32167,0.40818,0.8157,0.000266125,0.000266125,0.000266125
89,1288.78,0.3341,0.51317,0.81708,0.99591,0.98623,0.99247,0.93846,0.31118,0.4087,0.81461,0.000262,0.000262,0.000262
90,1302.51,0.31771,0.48134,0.81264,0.9948,0.99147,0.99302,0.93398,0.32596,0.40249,0.81519,0.000257875,0.000257875,0.000257875
91,1316.25,0.3313,0.48538,0.82018,0.99245,0.9915,0.99294,0.93786,0.30932,0.39809,0.81383,0.00025375,0.00025375,0.00025375
92,1330.02,0.33505,0.49179,0.82303,0.99525,0.99021,0.99206,0.93737,0.31315,0.40439,0.81444,0.000249625,0.000249625,0.000249625
93,1343.74,0.33114,0.47934,0.81969,0.99306,0.9887,0.99154,0.92817,0.34088,0.40974,0.82239,0.0002455,0.0002455,0.0002455
94,1357.33,0.32657,0.47888,0.81583,0.99213,0.98713,0.99246,0.94244,0.30409,0.39772,0.81198,0.000241375,0.000241375,0.000241375
95,1370.98,0.31283,0.47724,0.81993,0.99339,0.9852,0.99257,0.94001,0.3086,0.40024,0.81136,0.00023725,0.00023725,0.00023725
96,1384.59,0.3202,0.49723,0.82175,0.99476,0.98869,0.99277,0.94367,0.30516,0.39203,0.81238,0.000233125,0.000233125,0.000233125
97,1398.17,0.30397,0.46156,0.81337,0.99573,0.98968,0.9931,0.94493,0.31046,0.39243,0.81199,0.000229,0.000229,0.000229
98,1411.98,0.32029,0.47068,0.81571,0.99468,0.99102,0.99301,0.93632,0.32089,0.39274,0.81491,0.000224875,0.000224875,0.000224875
99,1425.63,0.32883,0.47579,0.81362,0.99524,0.9919,0.99297,0.93654,0.3119,0.40013,0.81368,0.00022075,0.00022075,0.00022075
100,1439.16,0.30503,0.45355,0.8127,0.99495,0.99228,0.99274,0.93936,0.30723,0.38553,0.8128,0.000216625,0.000216625,0.000216625
101,1452.75,0.31362,0.47398,0.81786,0.99675,0.99186,0.9925,0.94141,0.30239,0.38764,0.81165,0.0002125,0.0002125,0.0002125
102,1466.43,0.30263,0.46804,0.81425,0.99723,0.99211,0.99249,0.94312,0.29543,0.38288,0.81106,0.000208375,0.000208375,0.000208375
103,1480.03,0.30788,0.46849,0.81702,0.99542,0.99265,0.99265,0.94496,0.29273,0.37854,0.8106,0.00020425,0.00020425,0.00020425
104,1493.52,0.30781,0.4632,0.81633,0.99475,0.9932,0.99212,0.94229,0.30624,0.38262,0.81142,0.000200125,0.000200125,0.000200125
105,1507.09,0.31375,0.47783,0.81279,0.99282,0.99337,0.99176,0.94538,0.29493,0.38085,0.81033,0.000196,0.000196,0.000196
106,1520.7,0.30201,0.45338,0.80935,0.99291,0.99224,0.99193,0.94311,0.31151,0.38778,0.81242,0.000191875,0.000191875,0.000191875
107,1534.8,0.29605,0.47341,0.81512,0.99567,0.99172,0.99224,0.9465,0.29542,0.37962,0.81074,0.00018775,0.00018775,0.00018775
108,1548.36,0.31282,0.47575,0.81662,0.99586,0.99328,0.99219,0.94644,0.29576,0.37231,0.8099,0.000183625,0.000183625,0.000183625
109,1561.94,0.29128,0.44885,0.8084,0.99557,0.99228,0.9924,0.94685,0.28994,0.37283,0.80947,0.0001795,0.0001795,0.0001795
110,1575.56,0.30025,0.46868,0.81439,0.99571,0.99195,0.99284,0.94317,0.30094,0.37982,0.8119,0.000175375,0.000175375,0.000175375
111,1589.22,0.29325,0.43253,0.80427,0.99637,0.99163,0.99306,0.94462,0.30207,0.37735,0.81177,0.00017125,0.00017125,0.00017125
112,1602.84,0.30698,0.459,0.81336,0.99641,0.99035,0.99294,0.93964,0.31429,0.37267,0.81626,0.000167125,0.000167125,0.000167125
113,1616.35,0.28855,0.44098,0.80911,0.99672,0.99107,0.99274,0.94722,0.30148,0.37761,0.81182,0.000163,0.000163,0.000163
114,1630.02,0.30403,0.45551,0.81152,0.99663,0.99131,0.99231,0.94389,0.29639,0.38018,0.81199,0.000158875,0.000158875,0.000158875
115,1643.68,0.29878,0.44182,0.8111,0.9971,0.99191,0.99253,0.93918,0.31282,0.3744,0.81579,0.00015475,0.00015475,0.00015475
116,1657.3,0.3025,0.44754,0.81224,0.9964,0.99212,0.99223,0.94432,0.29559,0.36968,0.81142,0.000150625,0.000150625,0.000150625
117,1670.86,0.30406,0.45817,0.81296,0.99643,0.99309,0.99207,0.94488,0.2884,0.36765,0.81058,0.0001465,0.0001465,0.0001465
118,1684.48,0.31028,0.46096,0.81819,0.99619,0.99176,0.99205,0.94281,0.29211,0.37072,0.81086,0.000142375,0.000142375,0.000142375
119,1698,0.29804,0.44894,0.81086,0.99705,0.99099,0.99187,0.94274,0.29309,0.3678,0.80899,0.00013825,0.00013825,0.00013825
120,1711.85,0.28817,0.42519,0.80492,0.99195,0.9938,0.99273,0.94537,0.28954,0.3648,0.80986,0.000134125,0.000134125,0.000134125
121,1725.42,0.29911,0.45928,0.81711,0.99376,0.99183,0.99293,0.94824,0.28591,0.36737,0.8096,0.00013,0.00013,0.00013
122,1739.04,0.2938,0.43951,0.80561,0.99475,0.99168,0.99262,0.94304,0.29958,0.36824,0.81172,0.000125875,0.000125875,0.000125875
123,1752.67,0.29228,0.44425,0.81375,0.99604,0.98971,0.99233,0.94405,0.28467,0.36157,0.81022,0.00012175,0.00012175,0.00012175
124,1766.37,0.28574,0.43376,0.80822,0.99625,0.99115,0.99236,0.94406,0.29207,0.36183,0.81038,0.000117625,0.000117625,0.000117625
125,1779.98,0.28302,0.44565,0.80802,0.99664,0.98893,0.99246,0.94702,0.28048,0.35863,0.8089,0.0001135,0.0001135,0.0001135
126,1793.65,0.27975,0.421,0.80439,0.99551,0.99017,0.9923,0.94675,0.2803,0.35733,0.80867,0.000109375,0.000109375,0.000109375
127,1807.24,0.26295,0.41421,0.80587,0.99551,0.99116,0.99261,0.94675,0.2789,0.35602,0.80845,0.00010525,0.00010525,0.00010525
128,1820.96,0.28422,0.43348,0.81301,0.99595,0.99053,0.99309,0.94652,0.27722,0.35845,0.80853,0.000101125,0.000101125,0.000101125
129,1834.88,0.28495,0.4297,0.80633,0.99283,0.99384,0.99317,0.9452,0.28452,0.35566,0.8092,9.7e-05,9.7e-05,9.7e-05
130,1848.51,0.27389,0.42336,0.80953,0.99422,0.99457,0.99306,0.94531,0.28181,0.35881,0.80918,9.2875e-05,9.2875e-05,9.2875e-05
131,1862.06,0.28349,0.4402,0.80951,0.99469,0.99483,0.99309,0.94613,0.28387,0.35879,0.80925,8.875e-05,8.875e-05,8.875e-05
132,1875.55,0.26103,0.42063,0.80585,0.99378,0.99352,0.99321,0.94741,0.27648,0.35362,0.80817,8.4625e-05,8.4625e-05,8.4625e-05
133,1889.23,0.26466,0.43025,0.80661,0.993,0.99302,0.99327,0.94698,0.28157,0.35677,0.80848,8.05e-05,8.05e-05,8.05e-05
134,1902.89,0.26815,0.41921,0.80682,0.9943,0.99213,0.99318,0.94847,0.27714,0.35574,0.80817,7.6375e-05,7.6375e-05,7.6375e-05
135,1916.58,0.26611,0.41409,0.80871,0.99569,0.9921,0.99322,0.94833,0.27565,0.35062,0.80779,7.225e-05,7.225e-05,7.225e-05
136,1930.18,0.25176,0.41102,0.80775,0.99638,0.9919,0.99277,0.94817,0.27683,0.35195,0.80788,6.8125e-05,6.8125e-05,6.8125e-05
137,1943.81,0.26681,0.40629,0.80201,0.99598,0.99243,0.99273,0.94984,0.27756,0.35335,0.80767,6.4e-05,6.4e-05,6.4e-05
138,1958.11,0.26735,0.41619,0.80565,0.99431,0.99232,0.99276,0.94895,0.27639,0.35516,0.80793,5.9875e-05,5.9875e-05,5.9875e-05
139,1972.09,0.26899,0.41258,0.80588,0.99491,0.99218,0.99261,0.94666,0.2825,0.35707,0.80926,5.575e-05,5.575e-05,5.575e-05
