epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1269.78,0.34416,0.59112,0.82824,0.95996,0.95645,0.95639,0.88975,0.34902,0.5108,0.82824,0.00027025,0.00027025,0.00027025
88,1283.48,0.33132,0.53531,0.81044,0.96493,0.95812,0.95457,0.88687,0.3457,0.49816,0.83023,0.000266125,0.000266125,0.000266125
89,1297.18,0.35333,0.58041,0.82434,0.96155,0.95598,0.95396,0.88744,0.33508,0.49479,0.82692,0.000262,0.000262,0.000262
90,1311.08,0.33495,0.5636,0.81651,0.9636,0.95181,0.95239,0.8886,0.33186,0.50113,0.82734,0.000257875,0.000257875,0.000257875
91,1324.95,0.33888,0.56488,0.82336,0.95333,0.95632,0.95246,0.88896,0.32551,0.49089,0.82498,0.00025375,0.00025375,0.00025375
92,1338.68,0.3494,0.54195,0.82254,0.96058,0.95519,0.95363,0.88882,0.32939,0.48643,0.82531,0.000249625,0.000249625,0.000249625
93,1352.45,0.34885,0.5478,0.82125,0.95685,0.95932,0.95321,0.88867,0.34451,0.49831,0.82722,0.0002455,0.0002455,0.0002455
94,1366.15,0.35284,0.56086,0.82061,0.95872,0.95527,0.95295,0.89134,0.34046,0.495,0.82571,0.000241375,0.000241375,0.000241375
95,1380.02,0.32893,0.55231,0.82217,0.96701,0.9544,0.95415,0.89194,0.32741,0.47813,0.82311,0.00023725,0.00023725,0.00023725
96,1393.68,0.3445,0.56437,0.82841,0.96153,0.95457,0.95522,0.88804,0.33391,0.47569,0.82398,0.000233125,0.000233125,0.000233125
97,1407.43,0.32899,0.53812,0.81675,0.96029,0.94734,0.9553,0.89417,0.32682,0.48312,0.82365,0.000229,0.000229,0.000229
98,1421.19,0.34298,0.55695,0.81955,0.95947,0.95457,0.95467,0.88872,0.34045,0.48432,0.828,0.000224875,0.000224875,0.000224875
99,1435.11,0.33657,0.52482,0.81356,0.95924,0.95669,0.95513,0.89158,0.33064,0.47525,0.82327,0.00022075,0.00022075,0.00022075
100,1448.79,0.32665,0.51265,0.81802,0.96356,0.95411,0.95392,0.88505,0.34137,0.48318,0.82839,0.000216625,0.000216625,0.000216625
101,1462.5,0.34403,0.54124,0.81976,0.96315,0.95282,0.95484,0.88906,0.33927,0.48743,0.8262,0.0002125,0.0002125,0.0002125
102,1476.16,0.33099,0.5423,0.81938,0.96555,0.95183,0.95565,0.89057,0.33024,0.48384,0.82525,0.000208375,0.000208375,0.000208375
103,1489.82,0.33102,0.53975,0.8188,0.96364,0.95482,0.95616,0.89095,0.32662,0.47689,0.82429,0.00020425,0.00020425,0.00020425
104,1504.01,0.31918,0.52488,0.81389,0.96165,0.95455,0.95462,0.89124,0.32238,0.47036,0.82193,0.000200125,0.000200125,0.000200125
105,1517.99,0.32763,0.53211,0.81426,0.96829,0.95127,0.95496,0.89504,0.31895,0.47426,0.82164,0.000196,0.000196,0.000196
106,1532.39,0.32145,0.51688,0.81147,0.96826,0.95053,0.95388,0.89341,0.32044,0.47952,0.82158,0.000191875,0.000191875,0.000191875
107,1546.94,0.31696,0.54297,0.81853,0.97031,0.94975,0.95452,0.89636,0.32198,0.4752,0.82319,0.00018775,0.00018775,0.00018775
108,1561.46,0.34306,0.54802,0.82251,0.96644,0.95218,0.95605,0.89498,0.31624,0.47045,0.8217,0.000183625,0.000183625,0.000183625
109,1575.32,0.31099,0.5189,0.80993,0.96201,0.95659,0.95636,0.8989,0.31828,0.46756,0.82272,0.0001795,0.0001795,0.0001795
110,1589.41,0.31728,0.5362,0.81625,0.96225,0.95416,0.95732,0.8951,0.32438,0.47013,0.82547,0.000175375,0.000175375,0.000175375
111,1604.3,0.30835,0.49482,0.80699,0.9598,0.9554,0.95745,0.89618,0.32791,0.46761,0.82351,0.00017125,0.00017125,0.00017125
112,1618.41,0.32239,0.51682,0.81082,0.96258,0.94764,0.95619,0.89592,0.32605,0.46907,0.82486,0.000167125,0.000167125,0.000167125
113,1632.33,0.30099,0.50874,0.81005,0.9611,0.95362,0.95534,0.89881,0.31361,0.46982,0.82244,0.000163,0.000163,0.000163
114,1646.31,0.30588,0.51204,0.81307,0.95914,0.95469,0.95456,0.89655,0.30909,0.465,0.82223,0.000158875,0.000158875,0.000158875
115,1660.42,0.30678,0.50219,0.80993,0.95969,0.95392,0.95325,0.89607,0.31237,0.46902,0.8223,0.00015475,0.00015475,0.00015475
116,1674.49,0.31992,0.5067,0.81161,0.96336,0.95338,0.95232,0.89334,0.30933,0.46866,0.82171,0.000150625,0.000150625,0.000150625
117,1688.47,0.32038,0.5107,0.81569,0.96296,0.95302,0.95369,0.89138,0.31384,0.47093,0.82277,0.0001465,0.0001465,0.0001465
118,1702.42,0.32243,0.52873,0.81879,0.96173,0.9548,0.95192,0.89341,0.32405,0.4724,0.82384,0.000142375,0.000142375,0.000142375
119,1716.44,0.31084,0.51189,0.81078,0.9599,0.95614,0.95212,0.89361,0.31175,0.46143,0.82271,0.00013825,0.00013825,0.00013825
120,1730.49,0.30322,0.48757,0.80636,0.96001,0.95608,0.95312,0.89258,0.31266,0.46069,0.82107,0.000134125,0.000134125,0.000134125
121,1744.59,0.31254,0.52744,0.81488,0.9578,0.95431,0.9544,0.89556,0.30971,0.45772,0.82172,0.00013,0.00013,0.00013
122,1758.6,0.31011,0.50514,0.8095,0.95164,0.95793,0.95528,0.89621,0.31031,0.45796,0.82252,0.000125875,0.000125875,0.000125875
123,1773.11,0.3112,0.50624,0.81025,0.95307,0.95694,0.95486,0.89928,0.31392,0.45883,0.82162,0.00012175,0.00012175,0.00012175
124,1787.82,0.30712,0.49539,0.80805,0.96768,0.94978,0.95498,0.89676,0.31307,0.45675,0.82127,0.000117625,0.000117625,0.000117625
125,1802.22,0.30492,0.50932,0.80823,0.96226,0.95568,0.95308,0.89469,0.30917,0.45777,0.81997,0.0001135,0.0001135,0.0001135
126,1816.49,0.3019,0.48873,0.80742,0.963,0.95508,0.9529,0.89603,0.30291,0.45309,0.81878,0.000109375,0.000109375,0.000109375
127,1830.93,0.28636,0.48899,0.81071,0.96638,0.95401,0.95418,0.8962,0.30384,0.45044,0.81933,0.00010525,0.00010525,0.00010525
128,1844.97,0.30772,0.50015,0.81333,0.96199,0.95521,0.95396,0.89611,0.30458,0.45646,0.81924,0.000101125,0.000101125,0.000101125
129,1859.08,0.30854,0.48941,0.80735,0.96067,0.95806,0.95356,0.89741,0.30455,0.45466,0.81918,9.7e-05,9.7e-05,9.7e-05
130,1873.09,0.29445,0.49254,0.81042,0.96238,0.95317,0.95451,0.89424,0.30223,0.45535,0.81873,9.2875e-05,9.2875e-05,9.2875e-05
131,1887.21,0.31243,0.50472,0.81376,0.9642,0.95249,0.95359,0.89763,0.29997,0.45256,0.8186,8.875e-05,8.875e-05,8.875e-05
132,1901.32,0.28173,0.49398,0.80832,0.96264,0.95386,0.9527,0.89491,0.29734,0.44772,0.81909,8.4625e-05,8.4625e-05,8.4625e-05
133,1915.31,0.28265,0.48892,0.80746,0.96487,0.95234,0.95219,0.89454,0.31007,0.45205,0.81999,8.05e-05,8.05e-05,8.05e-05
134,1929.26,0.28857,0.48392,0.80703,0.96342,0.95532,0.95227,0.89407,0.2978,0.44941,0.81894,7.6375e-05,7.6375e-05,7.6375e-05
135,1943.18,0.29302,0.47479,0.81186,0.96759,0.95633,0.9516,0.89241,0.31106,0.44688,0.82136,7.225e-05,7.225e-05,7.225e-05
136,1957.17,0.27411,0.48244,0.80911,0.96598,0.95411,0.95263,0.89418,0.30087,0.44445,0.81909,6.8125e-05,6.8125e-05,6.8125e-05
137,1971.27,0.2894,0.46428,0.80289,0.96419,0.95454,0.95191,0.89516,0.30185,0.4426,0.819,6.4e-05,6.4e-05,6.4e-05
138,1985.37,0.29061,0.46931,0.80997,0.96433,0.95532,0.95186,0.8961,0.31063,0.44332,0.81965,5.9875e-05,5.9875e-05,5.9875e-05
139,1999.32,0.29108,0.47744,0.80736,0.96604,0.95314,0.9519,0.89462,0.30059,0.44272,0.81887,5.575e-05,5.575e-05,5.575e-05
140,2013.32,0.28751,0.48553,0.8046,0.96472,0.95414,0.95177,0.89358,0.30195,0.44463,0.81861,5.1625e-05,5.1625e-05,5.1625e-05
141,2064.89,0.2844,0.48812,0.79394,0.96303,0.94862,0.95261,0.89443,0.30243,0.44728,0.81857,4.75e-05,4.75e-05,4.75e-05
142,2078.84,0.26531,0.45652,0.78559,0.95565,0.95589,0.95282,0.89502,0.30094,0.45051,0.81841,4.3375e-05,4.3375e-05,4.3375e-05
143,2092.97,0.28382,0.48283,0.80322,0.95313,0.95777,0.9539,0.89787,0.30337,0.45379,0.81929,3.925e-05,3.925e-05,3.925e-05
144,2107.24,0.26262,0.45427,0.79197,0.96007,0.95325,0.95467,0.89646,0.29955,0.45213,0.81811,3.5125e-05,3.5125e-05,3.5125e-05
145,2121.68,0.25843,0.45526,0.78964,0.96006,0.95593,0.95435,0.89622,0.30095,0.45092,0.8185,3.1e-05,3.1e-05,3.1e-05
146,2135.73,0.23611,0.4262,0.78299,0.9593,0.95845,0.95333,0.89405,0.29861,0.44671,0.81877,2.6875e-05,2.6875e-05,2.6875e-05
147,2149.52,0.2406,0.42955,0.78229,0.9605,0.95742,0.95338,0.89306,0.29911,0.44539,0.81886,2.275e-05,2.275e-05,2.275e-05
148,2163.92,0.24486,0.43405,0.78551,0.9613,0.95533,0.95341,0.89516,0.2966,0.4471,0.81837,1.8625e-05,1.8625e-05,1.8625e-05
149,2177.87,0.23882,0.4326,0.78558,0.96219,0.95486,0.95386,0.89556,0.29647,0.4456,0.8183,1.45e-05,1.45e-05,1.45e-05
150,2192.24,0.2482,0.43771,0.78287,0.96482,0.95446,0.9538,0.89601,0.29729,0.44705,0.81811,1.0375e-05,1.0375e-05,1.0375e-05
