epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5911,2.31471,4.20015,1.8947,0.05817,0.22962,0.01633,0.00697,1.58134,4.05591,1.30775,0.000202546,0.000202546,0.000202546
2,67.3403,1.5832,3.91205,1.29285,0.04131,0.54122,0.08968,0.04805,1.41242,3.8259,1.12602,0.000408168,0.000408168,0.000408168
3,82.1733,1.39124,3.53942,1.17796,0.05525,0.74915,0.12147,0.07369,1.2609,3.50977,1.09474,0.000611039,0.000611039,0.000611039
4,97.2305,1.3313,3.30517,1.17381,0.2216,0.31614,0.17815,0.11311,1.29277,3.12886,1.18911,0.000612625,0.000612625,0.000612625
5,112.032,1.31027,3.07343,1.20119,0.17138,0.49458,0.23362,0.13914,1.38027,2.85396,1.297,0.0006085,0.0006085,0.0006085
6,126.324,1.27022,2.76968,1.18822,0.23865,0.43816,0.26617,0.1828,1.10804,2.58657,1.14588,0.000604375,0.000604375,0.000604375
7,140.752,1.12603,2.52153,1.14675,0.31963,0.44452,0.36407,0.25833,1.04917,2.29644,1.13346,0.00060025,0.00060025,0.00060025
8,154.935,1.06301,2.37128,1.13459,0.47278,0.51722,0.47137,0.36282,0.93151,2.09257,1.0704,0.000596125,0.000596125,0.000596125
9,169.113,0.9552,2.09954,1.08108,0.49185,0.55123,0.49921,0.38227,0.9249,1.97493,1.06137,0.000592,0.000592,0.000592
10,183.568,0.94544,1.96674,1.06509,0.46317,0.60289,0.53285,0.41647,0.85679,1.83042,1.03701,0.000587875,0.000587875,0.000587875
11,197.705,0.90491,1.81462,1.03849,0.53391,0.60302,0.5894,0.4633,0.83038,1.68671,1.02735,0.00058375,0.00058375,0.00058375
12,212.031,0.86035,1.73642,1.01995,0.5897,0.67541,0.66314,0.5309,0.78633,1.59473,0.99365,0.000579625,0.000579625,0.000579625
13,226.129,0.80424,1.59644,1.01229,0.60096,0.72854,0.70319,0.55697,0.83507,1.53093,1.03329,0.0005755,0.0005755,0.0005755
14,240.649,0.77268,1.53868,0.98175,0.73613,0.66035,0.72305,0.59244,0.73305,1.42041,0.97363,0.000571375,0.000571375,0.000571375
15,254.759,0.75218,1.47143,0.97861,0.64022,0.70035,0.73037,0.5939,0.73345,1.39671,0.97439,0.00056725,0.00056725,0.00056725
16,268.844,0.74499,1.42948,0.98605,0.76198,0.70388,0.75556,0.62503,0.6863,1.25208,0.95786,0.000563125,0.000563125,0.000563125
17,282.933,0.69561,1.33516,0.95625,0.70782,0.81891,0.79817,0.6481,0.73783,1.23301,0.96845,0.000559,0.000559,0.000559
18,297.357,0.70175,1.32237,0.95614,0.72501,0.7905,0.81553,0.6903,0.61109,1.16859,0.92895,0.000554875,0.000554875,0.000554875
19,311.714,0.67286,1.26071,0.94308,0.81028,0.77163,0.82627,0.71211,0.60493,1.13964,0.92515,0.00055075,0.00055075,0.00055075
20,325.941,0.64171,1.22451,0.93618,0.83728,0.81582,0.87636,0.75518,0.60708,1.06948,0.92285,0.000546625,0.000546625,0.000546625
21,340.061,0.62515,1.15328,0.92254,0.85061,0.84091,0.89297,0.7598,0.59022,1.00616,0.9164,0.0005425,0.0005425,0.0005425
22,354.675,0.61233,1.09409,0.91349,0.87876,0.87466,0.905,0.77984,0.6039,0.99588,0.91815,0.000538375,0.000538375,0.000538375
23,368.999,0.60594,1.05742,0.91509,0.88953,0.89394,0.91573,0.7924,0.5611,0.93543,0.90091,0.00053425,0.00053425,0.00053425
24,383.171,0.63812,1.07416,0.92257,0.94306,0.88247,0.91899,0.78059,0.60794,0.93321,0.91148,0.000530125,0.000530125,0.000530125
25,397.751,0.6011,1.04392,0.91756,0.93657,0.90346,0.92305,0.78854,0.58082,0.88621,0.9207,0.000526,0.000526,0.000526
26,412.19,0.5744,0.98871,0.90254,0.93302,0.90261,0.92421,0.80313,0.5389,0.87497,0.89072,0.000521875,0.000521875,0.000521875
27,426.504,0.55245,0.94871,0.89992,0.91922,0.91482,0.92536,0.80632,0.52451,0.81493,0.88836,0.00051775,0.00051775,0.00051775
28,440.676,0.57785,0.95056,0.89903,0.93095,0.9053,0.92935,0.80032,0.55256,0.81892,0.89481,0.000513625,0.000513625,0.000513625
29,454.848,0.61069,0.93791,0.90633,0.94062,0.91616,0.93509,0.81269,0.57598,0.8266,0.88609,0.0005095,0.0005095,0.0005095
30,468.873,0.56452,0.93281,0.88769,0.94468,0.93167,0.93643,0.82329,0.49353,0.79045,0.87188,0.000505375,0.000505375,0.000505375
31,483.212,0.54767,0.88737,0.8845,0.93438,0.94202,0.93714,0.82398,0.51612,0.77336,0.87578,0.00050125,0.00050125,0.00050125
32,497.261,0.53643,0.88576,0.88452,0.93499,0.92832,0.93849,0.83227,0.48634,0.74674,0.87035,0.000497125,0.000497125,0.000497125
33,511.441,0.50855,0.8624,0.86729,0.93629,0.93963,0.93691,0.83048,0.49701,0.74699,0.86717,0.000493,0.000493,0.000493
34,525.655,0.51426,0.84224,0.86834,0.93395,0.94576,0.94101,0.81829,0.51211,0.73683,0.87112,0.000488875,0.000488875,0.000488875
35,539.911,0.51714,0.85396,0.87536,0.9431,0.9338,0.94077,0.83523,0.50567,0.72732,0.8703,0.00048475,0.00048475,0.00048475
36,553.908,0.58935,0.87928,0.89375,0.94658,0.94278,0.94415,0.83736,0.48297,0.71391,0.86537,0.000480625,0.000480625,0.000480625
37,567.875,0.52854,0.84459,0.88046,0.93236,0.94399,0.94204,0.83347,0.51527,0.72104,0.87084,0.0004765,0.0004765,0.0004765
38,582.064,0.51352,0.80041,0.86325,0.93651,0.94005,0.93871,0.82531,0.49052,0.6898,0.86597,0.000472375,0.000472375,0.000472375
39,596.455,0.48512,0.80382,0.86666,0.94233,0.94869,0.94602,0.84432,0.45999,0.66335,0.85818,0.00046825,0.00046825,0.00046825
40,610.82,0.4693,0.78683,0.85863,0.96117,0.93552,0.94862,0.85107,0.45853,0.67656,0.85524,0.000464125,0.000464125,0.000464125
41,624.933,0.47435,0.77547,0.86134,0.94759,0.94924,0.94968,0.84496,0.46085,0.66491,0.85622,0.00046,0.00046,0.00046
42,639.092,0.47409,0.76424,0.85831,0.95018,0.9371,0.94247,0.82649,0.50347,0.66982,0.87295,0.000455875,0.000455875,0.000455875
43,653.31,0.4819,0.7758,0.86688,0.95886,0.9473,0.94868,0.82891,0.51223,0.67835,0.87664,0.00045175,0.00045175,0.00045175
44,667.576,0.50367,0.75905,0.8747,0.95335,0.94457,0.9511,0.84492,0.49958,0.671,0.87876,0.000447625,0.000447625,0.000447625
45,681.835,0.50146,0.7927,0.87483,0.95312,0.94387,0.95225,0.84549,0.50238,0.67685,0.86688,0.0004435,0.0004435,0.0004435
46,696.018,0.52088,0.79778,0.87387,0.95397,0.94142,0.95149,0.84272,0.48113,0.66321,0.86607,0.000439375,0.000439375,0.000439375
47,710.291,0.51985,0.7453,0.87485,0.95408,0.95036,0.94896,0.85977,0.43791,0.64833,0.85451,0.00043525,0.00043525,0.00043525
48,724.761,0.5128,0.73869,0.87306,0.95901,0.94521,0.95023,0.84025,0.48054,0.64398,0.86281,0.000431125,0.000431125,0.000431125
49,738.82,0.49907,0.74272,0.87047,0.96105,0.94407,0.95232,0.86007,0.42293,0.6311,0.84796,0.000427,0.000427,0.000427
50,752.976,0.49806,0.74618,0.85949,0.96198,0.93984,0.95362,0.83647,0.53348,0.64106,0.86951,0.000422875,0.000422875,0.000422875
51,766.96,0.4658,0.71491,0.8603,0.9546,0.94908,0.94601,0.83974,0.45279,0.62195,0.85591,0.00041875,0.00041875,0.00041875
52,781.161,0.47272,0.7165,0.85297,0.9558,0.94924,0.94994,0.85459,0.44389,0.6276,0.85383,0.000414625,0.000414625,0.000414625
53,795.232,0.45812,0.72377,0.85723,0.95581,0.95006,0.94994,0.86423,0.4077,0.61366,0.84486,0.0004105,0.0004105,0.0004105
54,809.403,0.44472,0.72185,0.85719,0.94674,0.93984,0.95113,0.86433,0.4277,0.62031,0.84888,0.000406375,0.000406375,0.000406375
55,824.023,0.4555,0.70534,0.84834,0.96027,0.949,0.9516,0.85899,0.42114,0.58975,0.84569,0.00040225,0.00040225,0.00040225
56,838.296,0.44337,0.71601,0.85442,0.95937,0.95173,0.95222,0.85388,0.44045,0.60654,0.84634,0.000398125,0.000398125,0.000398125
57,852.426,0.44626,0.70797,0.84658,0.96241,0.94772,0.95285,0.86367,0.41448,0.60004,0.84521,0.000394,0.000394,0.000394
58,866.403,0.43146,0.67492,0.84297,0.94937,0.94929,0.95169,0.87375,0.39303,0.59591,0.8416,0.000389875,0.000389875,0.000389875
59,880.295,0.42433,0.68251,0.84327,0.95537,0.95286,0.95137,0.86905,0.40271,0.58432,0.84367,0.00038575,0.00038575,0.00038575
60,894.597,0.40196,0.66484,0.83628,0.9626,0.9525,0.95089,0.8736,0.38173,0.56234,0.83685,0.000381625,0.000381625,0.000381625
61,908.575,0.40616,0.66213,0.83862,0.95989,0.95054,0.95055,0.87317,0.3879,0.57776,0.83855,0.0003775,0.0003775,0.0003775
62,922.546,0.38851,0.66409,0.83905,0.94644,0.94007,0.94937,0.87149,0.39495,0.58569,0.84072,0.000373375,0.000373375,0.000373375
63,936.456,0.40774,0.65604,0.83793,0.96146,0.93877,0.94943,0.86864,0.39564,0.5762,0.8405,0.00036925,0.00036925,0.00036925
64,950.452,0.41728,0.67291,0.84253,0.95975,0.95095,0.95287,0.87119,0.39462,0.56177,0.8418,0.000365125,0.000365125,0.000365125
65,965.026,0.40326,0.65525,0.84013,0.96155,0.95041,0.95111,0.86953,0.38946,0.55635,0.83715,0.000361,0.000361,0.000361
66,978.993,0.4118,0.67051,0.84653,0.96476,0.95345,0.9526,0.87443,0.38097,0.55164,0.83841,0.000356875,0.000356875,0.000356875
67,993.089,0.39652,0.64529,0.84099,0.96582,0.94924,0.95232,0.86726,0.39866,0.55209,0.84259,0.00035275,0.00035275,0.00035275
68,1007.16,0.40893,0.65377,0.84224,0.96068,0.94601,0.95233,0.87415,0.38195,0.55981,0.83803,0.000348625,0.000348625,0.000348625
69,1021.02,0.38544,0.65702,0.83411,0.95495,0.94987,0.95102,0.87839,0.37213,0.55568,0.83455,0.0003445,0.0003445,0.0003445
70,1034.8,0.37714,0.60604,0.82882,0.95673,0.94951,0.95011,0.88199,0.3583,0.54136,0.83392,0.000340375,0.000340375,0.000340375
71,1048.58,0.38299,0.62777,0.83843,0.96217,0.94713,0.95635,0.88648,0.35983,0.54615,0.83116,0.00033625,0.00033625,0.00033625
72,1062.36,0.39368,0.61495,0.83158,0.95689,0.94547,0.95424,0.87381,0.3902,0.55269,0.83364,0.000332125,0.000332125,0.000332125
73,1076.5,0.39581,0.61037,0.83332,0.95593,0.95874,0.95466,0.87681,0.39167,0.53893,0.83941,0.000328,0.000328,0.000328
74,1090.27,0.39313,0.60891,0.83501,0.96291,0.9591,0.95405,0.87173,0.38022,0.53097,0.83395,0.000323875,0.000323875,0.000323875
75,1104.05,0.38165,0.61275,0.83126,0.96174,0.95554,0.95372,0.88221,0.36115,0.53583,0.83088,0.00031975,0.00031975,0.00031975
76,1117.86,0.38457,0.6047,0.82828,0.96747,0.95511,0.95605,0.88008,0.36403,0.52342,0.82901,0.000315625,0.000315625,0.000315625
77,1131.8,0.37749,0.59622,0.83209,0.96586,0.95666,0.95746,0.88841,0.35854,0.51306,0.82917,0.0003115,0.0003115,0.0003115
78,1145.71,0.3743,0.58356,0.82821,0.96617,0.95643,0.95809,0.8804,0.37774,0.51155,0.83197,0.000307375,0.000307375,0.000307375
79,1159.54,0.36917,0.60584,0.83018,0.96495,0.95797,0.95908,0.88638,0.36683,0.51113,0.82925,0.00030325,0.00030325,0.00030325
80,1173.25,0.37004,0.59413,0.8309,0.96415,0.95621,0.95925,0.89057,0.34277,0.50787,0.82864,0.000299125,0.000299125,0.000299125
81,1187.02,0.35988,0.57819,0.82066,0.96045,0.95671,0.9564,0.88414,0.3541,0.50214,0.83084,0.000295,0.000295,0.000295
82,1200.95,0.35784,0.56485,0.82909,0.95878,0.95352,0.95648,0.88963,0.35138,0.51349,0.83222,0.000290875,0.000290875,0.000290875
83,1214.71,0.36874,0.59927,0.82532,0.95736,0.94991,0.95452,0.88706,0.34154,0.52642,0.83097,0.00028675,0.00028675,0.00028675
84,1228.47,0.36494,0.58541,0.82505,0.96266,0.94613,0.95555,0.89053,0.33897,0.5022,0.82939,0.000282625,0.000282625,0.000282625
85,1242.3,0.35371,0.57503,0.81993,0.96342,0.94756,0.95627,0.88831,0.3463,0.49817,0.8284,0.0002785,0.0002785,0.0002785
86,1256.11,0.36159,0.58439,0.82995,0.95713,0.95622,0.95745,0.8925,0.33731,0.49702,0.82624,0.000274375,0.000274375,0.000274375
